S.no, Profile, Dia_mm, Thk_mm, Td_kN, Pd_kN, Vy_kN, Vz_kN, Td_kN-m, My_kN-m, Mz-_kN-m, Mz+_kN-m, KLT, lay, laz, laLT, Fc1
27, NB90X4.8, 101.6, 4.8, 464.4530579067149, 287.0540581663532, 170.71092759398852, 170.71092759398852, 13.352839633594893, 12.882099270986174, 12.882099270986174, 12.882099270986174, 0.9689025165985659, 0.9670547043237673, 0.9670547043237673, 0.9670547043237673, -1.4353800783901101e-06
28, NB100X3.6, 114.3, 3.6, 398.35966046182915, 277.0745052153593, 146.4181277220136, 146.4181277220136, 13.097229080697955, 12.826396894310921, 12.826396894310921, 12.826396894310921, 0.9718081318792325, 0.8462185236546482, 0.8462185236546482, 0.8462185236546482, -1.673529558424119e-06
29, NB100X4.5, 114.3, 4.5, 493.9012050441371, 341.43846176423017, 181.53467054965077, 181.53467054965077, 16.106414637212335, 15.654840376541898, 15.654840376541898, 15.654840376541898, 0.9769421737757445, 0.852889777743976, 0.852889777743976, 0.852889777743976, -1.3497976110568322e-06
30, NB100X5.4, 114.3, 5.4, 587.8234014131862, 403.8589174758312, 216.0560177361417, 216.0560177361417, 19.012148618927103, 18.341895251072128, 18.341895251072128, 18.341895251072128, 0.980352525382026, 0.8596041816211261, 0.8596041816211261, 0.8596041816211261, -1.1341274693452717e-06
31, NB110X4.5, 127.0, 4.5, 551.0282114563461, 411.08130298600184, 202.53185011231528, 202.53185011231528, 20.04778390331051, 19.559115164052248, 19.559115164052248, 19.559115164052248, 0.982831161021976, 0.7645937755996541, 0.7645937755996541, 0.7645937755996541, -1.2098594097472661e-06
32, NB110X4.8, 127.0, 4.8, 586.3240049194269, 436.7771666351407, 215.504910661006, 215.504910661006, 21.279691640142747, 20.714153052033918, 20.714153052033918, 20.714153052033918, 0.9838031090898072, 0.7663968130056836, 0.7663968130056836, 0.7663968130056836, -1.1370277544039504e-06
33, NB110X5.4, 127.0, 5.4, 656.3758091078367, 487.531002770075, 241.2526332113391, 241.2526332113391, 23.705143621091356, 22.971685517752338, 22.971685517752338, 22.971685517752338, 0.985420791376463, 0.7700134216479371, 0.7700134216479371, 0.7700134216479371, -1.0156783010830605e-06
34, NB125X4.5, 139.7, 4.5, 608.1552178685547, 479.0620027830633, 223.5290296749797, 223.5290296749797, 24.420107880381103, 23.898658618732703, 23.898658618732703, 23.898658618732703, 0.9866497707292678, 0.6928553203054169, 0.6928553203054169, 0.6928553203054169, -1.0962113734766289e-06
35, NB125X4.8, 139.7, 4.8, 647.2594784257832, 509.3261290530887, 237.90190219451483, 237.90190219451483, 25.93264518097254, 25.32658694209759, 25.32658694209759, 25.32658694209759, 0.98741611000147, 0.6943412646496259, 0.6943412646496259, 0.6943412646496259, -1.0299836292673294e-06
36, NB125X5.4, 139.7, 5.4, 724.9282168024879, 569.2287541769765, 266.4492486865367, 266.4492486865367, 28.915284276422497, 28.12376400832756, 28.12376400832756, 28.12376400832756, 0.9886920483282039, 0.6973212179299142, 0.6973212179299142, 0.6973212179299142, -9.196312837803431e-07
